Zone,Hour,DayType,DayOfWeek,Weather,Temperature,Humidity,Demand
Sector 1,16,Weekend,6,Fog,15,68,46.9
Bhilai 3,15,Weekend,5,Rain,36,41,32.4
Smriti Nagar,23,Weekend,6,Thunderstorm,35,59,20.1
Sector 3,7,Weekend,6,Rain,23,84,52.1
Civic Center,14,Weekday,0,Fog,23,45,38.8
Sector 5,23,Weekday,3,Rain,39,85,13.8
Supela,2,Weekday,3,Thunderstorm,37,83,9.1
Padmanabhpur,10,Weekday,1,Fog,22,42,36.2
Sector 8,15,Weekend,6,Cloudy,41,89,26.0
Power House,13,Weekday,3,Fog,20,76,30.0
Smriti Nagar,17,Weekday,4,Clear,31,48,49.6
Padmanabhpur,6,Weekday,1,Cloudy,24,45,29.3
Sector 1,12,Weekday,3,Fog,14,37,46.2
Smriti Nagar,11,Weekday,0,Heavy Rain,30,67,55.0
Durg Station,7,Weekday,3,Cloudy,37,83,68.8
Civic Center,7,Weekend,5,Rain,36,41,47.7
Sector 2,7,Weekday,3,Cloudy,37,83,58.3
Sector 1,2,Weekday,3,Heavy Rain,30,71,7.4
Kohka,12,Weekday,4,Rain,31,82,37.0
Civic Center,17,Weekend,5,Cloudy,32,36,82.7
Durg Station,7,Weekday,4,Cloudy,25,51,52.3
Durg Station,1,Weekday,4,Rain,31,82,8.1
Supela,4,Weekday,3,Rain,39,85,6.9
Nehru Nagar,21,Weekday,4,Clear,41,45,34.5
Padmanabhpur,5,Weekday,4,Clear,31,48,12.3
Kohka,6,Weekday,1,Clear,21,52,17.1
Sector 8,2,Weekend,6,Fog,19,52,2.7
Kohka,4,Weekday,0,Rain,38,36,4.1
Sector 3,10,Weekday,4,Clear,38,35,36.8
Sector 4,16,Weekday,1,Thunderstorm,35,71,61.3
Padmanabhpur,22,Weekend,6,Rain,21,85,31.0
Kohka,18,Weekday,2,Thunderstorm,22,70,70.5
Sector 7,8,Weekend,5,Fog,24,59,42.0
Sector 7,15,Weekday,0,Heavy Rain,30,67,61.0
Junwani,17,Weekday,2,Thunderstorm,22,70,91.8
Sector 1,22,Weekday,0,Heavy Rain,25,70,40.0
Sector 7,0,Weekday,2,Rain,40,42,10.3
Padmanabhpur,9,Weekday,0,Cloudy,20,62,58.8
Nehru Nagar,8,Weekday,4,Clear,27,52,58.2
Nehru Nagar,17,Weekday,0,Thunderstorm,23,45,128.0
Sector 6,11,Weekday,2,Rain,34,82,52.1
Bhilai 3,1,Weekday,3,Rain,37,83,7.2
Sector 3,1,Weekday,4,Clear,27,52,5.0
Junwani,10,Weekday,0,Cloudy,41,37,44.6
Sector 8,20,Weekday,0,Rain,33,85,53.8
Power House,21,Weekday,3,Thunderstorm,35,66,44.8
Supela,19,Weekend,5,Cloudy,32,36,77.4
Kohka,9,Weekend,6,Rain,23,84,50.0
Padmanabhpur,22,Weekday,4,Clear,35,62,21.1
Sector 10,11,Weekend,6,Clear,32,36,21.3
Sector 10,19,Weekend,5,Clear,30,67,47.8
Sector 6,7,Weekend,6,Clear,32,36,41.2
Sector 6,7,Weekday,0,Rain,38,36,59.7
Sector 3,19,Weekday,1,Cloudy,32,44,43.8
Kohka,18,Weekend,6,Cloudy,39,74,65.7
Power House,17,Weekend,5,Rain,36,41,77.8
Sector 8,6,Weekday,1,Cloudy,38,47,18.8
Kohka,0,Weekday,0,Heavy Rain,25,70,10.3
Sector 7,4,Weekday,1,Rain,28,43,5.6
Sector 7,4,Weekday,3,Thunderstorm,37,70,6.9
Padmanabhpur,17,Weekday,1,Clear,21,52,55.2
Sector 5,12,Weekend,5,Rain,36,41,42.6
Sector 3,4,Weekday,3,Clear,20,76,3.8
Civic Center,14,Weekday,4,Rain,35,62,61.8
Nehru Nagar,19,Weekday,4,Clear,35,62,60.0
Sector 10,0,Weekend,5,Fog,37,81,4.2
Sector 2,15,Weekday,2,Clear,31,77,38.4
Sector 6,4,Weekday,3,Clear,31,64,4.7
Civic Center,10,Weekday,4,Clear,25,42,43.9
Nehru Nagar,1,Weekday,1,Thunderstorm,35,71,7.8
Smriti Nagar,14,Weekday,1,Heavy Rain,31,75,49.4
Bhilai 3,19,Weekday,1,Cloudy,35,50,59.0
Nehru Nagar,22,Weekday,1,Cloudy,23,49,28.3
Power House,17,Weekday,4,Rain,35,62,61.8
Durg Station,7,Weekday,3,Thunderstorm,37,70,64.7
Sector 2,20,Weekend,5,Cloudy,32,36,49.9
Padmanabhpur,19,Weekend,5,Thunderstorm,37,81,87.0
Padmanabhpur,7,Weekday,0,Cloudy,20,62,39.4
Sector 9,14,Weekday,2,Clear,23,34,23.9
Sector 3,10,Weekday,4,Heavy Rain,31,82,39.5
Sector 7,6,Weekday,4,Rain,34,60,30.2
Sector 1,1,Weekday,0,Clear,42,59,7.8
Nehru Nagar,23,Weekday,1,Cloudy,24,45,16.2
Civic Center,14,Weekend,6,Thunderstorm,33,61,67.1
Sector 1,6,Weekday,0,Rain,38,36,40.4
Nehru Nagar,19,Weekday,3,Cloudy,20,76,66.8
Sector 9,6,Weekday,3,Cloudy,25,85,24.1
Sector 6,14,Weekday,1,Rain,28,43,37.1
Sector 1,4,Weekday,2,Rain,34,82,6.9
Power House,15,Weekend,5,Cloudy,35,52,25.3
Kohka,17,Weekday,2,Clear,23,34,39.3
Sector 4,5,Weekend,5,Clear,27,74,8.1
Civic Center,10,Weekend,6,Rain,23,84,58.0
Junwani,15,Weekday,0,Fog,20,31,30.2
Power House,13,Weekday,0,Rain,38,36,36.8
Sector 2,18,Weekday,2,Cloudy,36,95,54.7
Power House,16,Weekday,3,Rain,20,79,45.6
Junwani,23,Weekday,2,Cloudy,36,95,13.2
Sector 8,13,Weekday,2,Thunderstorm,40,80,53.2
Sector 5,21,Weekday,0,Cloudy,41,37,24.6
Sector 4,10,Weekday,4,Clear,31,48,34.4
Durg Station,18,Weekday,0,Thunderstorm,40,43,122.1
Sector 7,23,Weekday,0,Thunderstorm,23,45,20.3
Smriti Nagar,0,Weekend,5,Clear,30,67,6.0
Civic Center,8,Weekday,1,Thunderstorm,31,75,122.4
Smriti Nagar,0,Weekday,1,Cloudy,23,49,9.6
Durg Station,18,Weekday,3,Rain,35,36,91.6
Sector 7,7,Weekday,1,Thunderstorm,21,52,79.7
Sector 5,2,Weekday,0,Rain,33,85,4.3
Durg Station,15,Weekday,2,Thunderstorm,40,80,101.2
Sector 3,15,Weekday,4,Clear,27,52,36.8
Sector 10,16,Weekday,3,Heavy Rain,30,71,40.3
Sector 5,3,Weekday,2,Rain,34,82,3.1
Sector 4,2,Weekend,6,Fog,15,68,2.5
Kohka,12,Weekday,0,Thunderstorm,40,43,46.8
Power House,12,Weekday,3,Rain,20,79,51.2
Bhilai 3,21,Weekday,1,Cloudy,23,49,24.2
Sector 2,8,Weekday,0,Thunderstorm,40,43,84.2
Sector 7,14,Weekday,2,Clear,36,47,38.4
Bhilai 3,0,Weekend,5,Cloudy,32,83,6.2
Sector 1,20,Weekday,2,Clear,21,66,41.5
Sector 2,10,Weekday,0,Rain,38,36,47.1
Nehru Nagar,1,Weekday,2,Rain,42,93,8.5
Sector 4,14,Weekend,6,Clear,38,39,22.5
Sector 5,3,Weekday,2,Clear,36,47,2.3
Sector 6,4,Weekday,1,Fog,22,42,3.9
Sector 10,12,Weekday,0,Cloudy,41,37,33.4
Nehru Nagar,2,Weekday,1,Rain,20,88,6.2
Sector 1,4,Weekday,1,Cloudy,32,44,5.8
Sector 1,10,Weekend,5,Clear,30,67,35.8
Sector 9,5,Weekend,5,Fog,20,95,7.2
Junwani,3,Weekday,2,Rain,34,82,3.6
Sector 7,6,Weekday,0,Clear,32,74,28.9
Sector 10,23,Weekday,2,Clear,31,77,12.3
Sector 8,11,Weekday,3,Rain,35,36,40.5
Smriti Nagar,2,Weekend,5,Clear,30,67,3.3
Smriti Nagar,5,Weekday,4,Fog,13,63,9.2
Sector 8,1,Weekend,6,Clear,33,61,3.3
Power House,4,Weekday,0,Fog,20,31,3.9
Power House,0,Weekend,5,Fog,20,95,4.6
Junwani,18,Weekday,4,Cloudy,22,79,45.2
Sector 3,1,Weekday,2,Thunderstorm,40,80,5.1
Sector 7,7,Weekday,2,Cloudy,34,48,53.1
Sector 10,6,Weekday,1,Cloudy,38,47,18.9
Padmanabhpur,16,Weekday,1,Rain,20,88,53.1
Supela,2,Weekday,1,Cloudy,35,50,6.2
Kohka,9,Weekday,4,Cloudy,25,51,37.9
Junwani,11,Weekday,1,Fog,22,42,28.4
Power House,1,Weekday,0,Rain,33,85,5.1
Nehru Nagar,15,Weekday,2,Clear,23,34,45.1
Supela,15,Weekend,5,Fog,20,95,29.0
Junwani,9,Weekday,2,Fog,20,34,43.9
Nehru Nagar,13,Weekday,3,Cloudy,30,71,40.2
Padmanabhpur,7,Weekday,4,Cloudy,22,79,47.2
Sector 10,19,Weekday,0,Heavy Rain,30,67,64.3
Sector 8,3,Weekday,2,Clear,27,64,2.5
Sector 5,11,Weekday,0,Heavy Rain,23,45,44.4
Civic Center,18,Weekday,4,Clear,25,42,91.7
Sector 10,17,Weekday,1,Rain,20,88,60.6
Nehru Nagar,14,Weekend,5,Thunderstorm,15,76,52.3
Durg Station,6,Weekday,4,Fog,13,63,32.4
Sector 8,20,Weekday,2,Clear,20,34,34.0
Sector 5,16,Weekday,2,Cloudy,36,95,40.8
Padmanabhpur,0,Weekend,6,Cloudy,39,74,7.1
Sector 2,23,Weekend,5,Cloudy,34,42,13.0
Sector 8,21,Weekday,3,Heavy Rain,30,71,38.2
Sector 9,23,Weekend,5,Rain,36,41,14.2
Smriti Nagar,5,Weekend,5,Fog,15,76,6.8
Bhilai 3,19,Weekend,5,Fog,20,95,49.7
Sector 4,14,Weekend,6,Rain,21,85,35.5
Kohka,19,Weekday,0,Fog,13,59,36.7
Junwani,10,Weekday,1,Fog,22,42,26.1
Sector 9,15,Weekday,4,Cloudy,25,51,32.3
Sector 8,15,Weekend,6,Rain,21,31,29.2
Supela,1,Weekend,5,Clear,40,88,6.1
Supela,8,Weekday,0,Rain,33,85,81.0
Sector 6,20,Weekday,3,Thunderstorm,37,70,55.8
Sector 4,11,Weekday,0,Cloudy,31,66,30.6
Padmanabhpur,18,Weekend,5,Cloudy,32,36,63.7
Kohka,23,Weekday,3,Fog,14,37,12.0
Padmanabhpur,0,Weekend,6,Rain,21,85,10.0
Durg Station,17,Weekend,6,Cloudy,39,74,111.1
Sector 4,11,Weekday,1,Cloudy,35,50,31.5
Bhilai 3,5,Weekend,6,Heavy Rain,38,39,11.6
Sector 6,17,Weekend,5,Rain,24,59,85.3
Sector 3,2,Weekday,4,Thunderstorm,34,60,7.3
Durg Station,14,Weekday,2,Clear,27,64,44.7
Durg Station,12,Weekday,1,Heavy Rain,31,75,92.8
Civic Center,20,Weekday,3,Cloudy,31,64,49.5
Padmanabhpur,11,Weekend,6,Rain,23,84,44.7
Sector 3,4,Weekday,3,Rain,37,83,5.3
Sector 1,21,Weekday,3,Rain,39,85,43.1
Kohka,1,Weekday,2,Rain,42,93,5.7
Bhilai 3,10,Weekend,6,Rain,32,36,38.7
Sector 5,0,Weekday,2,Rain,40,42,9.2
Sector 1,13,Weekday,0,Thunderstorm,40,43,67.1
Smriti Nagar,11,Weekend,5,Clear,30,67,27.5
Junwani,1,Weekday,1,Fog,22,42,4.2
Civic Center,8,Weekend,5,Fog,20,95,48.3
Smriti Nagar,8,Weekend,6,Clear,32,36,38.3
Smriti Nagar,10,Weekday,4,Heavy Rain,31,82,64.5
Supela,2,Weekend,6,Thunderstorm,21,85,8.1
Sector 6,12,Weekday,3,Rain,36,69,46.3
Sector 8,14,Weekend,5,Clear,27,74,21.8
Padmanabhpur,21,Weekday,0,Heavy Rain,25,70,41.8
Sector 6,0,Weekend,5,Cloudy,32,36,6.4
Sector 5,1,Weekday,3,Rain,35,36,5.2
Padmanabhpur,23,Weekday,0,Rain,33,85,19.3
Sector 2,22,Weekday,0,Clear,13,59,18.5
Sector 3,2,Weekday,1,Cloudy,23,49,3.6
Sector 9,15,Weekday,1,Thunderstorm,35,71,47.3
Sector 5,10,Weekday,1,Clear,34,91,31.4
Sector 5,19,Weekday,1,Cloudy,35,50,32.0
Padmanabhpur,18,Weekday,0,Rain,32,74,76.7
Sector 8,20,Weekday,1,Cloudy,24,45,35.6
Civic Center,22,Weekend,6,Rain,21,85,41.3
Power House,21,Weekday,2,Cloudy,34,48,29.2
Junwani,4,Weekend,6,Thunderstorm,35,59,6.7
Sector 4,9,Weekday,1,Fog,22,42,30.3
Supela,20,Weekday,1,Fog,34,91,44.6
Junwani,2,Weekday,1,Fog,22,42,3.1
Smriti Nagar,0,Weekday,2,Rain,34,82,10.9
Civic Center,1,Weekday,2,Clear,40,42,8.0
Durg Station,6,Weekday,1,Rain,20,88,45.8
Durg Station,11,Weekday,2,Clear,27,64,48.7
Power House,0,Weekday,4,Rain,34,60,10.2
Sector 9,0,Weekday,0,Cloudy,31,66,7.4
Civic Center,19,Weekday,0,Heavy Rain,23,45,125.8
Sector 4,22,Weekend,6,Clear,33,61,22.6
Sector 3,14,Weekday,2,Rain,40,42,34.3
Supela,18,Weekday,4,Rain,30,76,98.3
Sector 7,17,Weekend,6,Cloudy,41,89,74.8
Smriti Nagar,21,Weekend,5,Clear,30,67,34.8
Bhilai 3,17,Weekday,2,Clear,31,77,50.0
Bhilai 3,12,Weekday,4,Thunderstorm,27,61,66.6
Sector 5,13,Weekday,2,Clear,20,34,34.2
Sector 5,22,Weekday,3,Heavy Rain,30,71,22.5
Sector 2,16,Weekday,1,Thunderstorm,35,71,70.1
Sector 7,21,Weekend,5,Thunderstorm,37,81,55.0
Junwani,19,Weekday,0,Fog,20,31,33.5
Sector 9,16,Weekend,6,Heavy Rain,23,87,43.4
Kohka,18,Weekday,0,Clear,42,59,41.7
Nehru Nagar,0,Weekday,0,Cloudy,20,62,10.4
Sector 5,12,Weekday,4,Fog,13,63,32.3
Kohka,2,Weekday,4,Rain,35,62,3.7
Sector 8,9,Weekday,4,Cloudy,27,61,57.4
Power House,0,Weekday,2,Clear,23,34,6.9
Smriti Nagar,3,Weekday,4,Clear,41,45,2.9
Smriti Nagar,5,Weekend,5,Cloudy,35,52,11.2
Junwani,7,Weekend,6,Heavy Rain,35,59,51.6
Sector 9,9,Weekday,3,Clear,30,71,37.3
Bhilai 3,18,Weekday,4,Heavy Rain,27,52,93.2
Sector 1,20,Weekday,4,Rain,31,82,72.4
Sector 7,2,Weekend,5,Thunderstorm,32,83,6.5
Sector 5,21,Weekend,5,Fog,15,76,24.6
Sector 6,10,Weekday,2,Clear,31,77,39.0
Sector 10,11,Weekday,1,Rain,24,45,37.9
Sector 10,11,Weekend,6,Rain,21,31,33.1
Sector 8,0,Weekday,2,Thunderstorm,22,70,11.4
Sector 5,22,Weekday,3,Rain,39,85,22.2
Sector 4,16,Weekend,6,Heavy Rain,21,85,32.6
Kohka,21,Weekday,0,Fog,20,31,20.0
Sector 8,23,Weekday,4,Rain,30,76,13.0
Sector 6,3,Weekday,1,Cloudy,35,50,3.9
Sector 8,10,Weekday,4,Fog,34,60,28.4
Junwani,13,Weekday,4,Clear,27,52,30.5
Junwani,3,Weekend,6,Clear,33,61,2.7
Bhilai 3,5,Weekday,1,Clear,34,91,9.7
Supela,21,Weekend,5,Cloudy,35,52,52.7
Nehru Nagar,6,Weekday,3,Rain,37,83,36.2
Durg Station,6,Weekday,4,Rain,31,82,47.9
Power House,12,Weekday,0,Fog,13,59,28.0
Sector 4,22,Weekday,4,Fog,13,63,13.3
Sector 7,5,Weekend,6,Rain,21,85,11.4
Junwani,9,Weekend,5,Thunderstorm,37,81,67.2
Sector 3,0,Weekday,3,Heavy Rain,37,83,11.8
Sector 2,20,Weekday,1,Heavy Rain,31,75,69.3
Kohka,21,Weekday,3,Fog,14,37,16.1
Supela,9,Weekday,2,Rain,42,93,82.1
Sector 10,14,Weekday,4,Rain,35,62,39.2
Sector 9,19,Weekday,1,Fog,18,94,24.7
Junwani,0,Weekday,3,Rain,31,64,10.7
Padmanabhpur,18,Weekday,1,Rain,28,43,81.6
Junwani,22,Weekday,1,Cloudy,24,45,20.7
Supela,16,Weekend,5,Thunderstorm,37,81,74.0
Bhilai 3,16,Weekday,0,Heavy Rain,30,67,58.6
Sector 7,3,Weekday,0,Thunderstorm,23,45,5.8
Padmanabhpur,3,Weekday,3,Heavy Rain,30,71,3.8
Civic Center,2,Weekday,1,Fog,18,94,4.9
Smriti Nagar,18,Weekday,4,Clear,25,42,69.5
Sector 10,5,Weekday,0,Heavy Rain,30,67,11.4
Sector 4,6,Weekend,6,Clear,32,36,19.4
Sector 2,17,Weekday,2,Cloudy,40,42,72.5
Power House,17,Weekday,0,Cloudy,20,62,49.9
Bhilai 3,18,Weekday,2,Fog,27,64,44.8
Civic Center,0,Weekday,2,Thunderstorm,22,70,18.2
Sector 3,15,Weekday,4,Clear,41,45,35.9
Padmanabhpur,17,Weekday,2,Clear,21,66,52.4
Power House,23,Weekend,6,Rain,21,85,14.3
Sector 9,12,Weekday,2,Clear,21,66,25.1
Bhilai 3,17,Weekday,0,Heavy Rain,30,67,101.2
Sector 9,19,Weekend,5,Cloudy,34,42,60.8
Kohka,6,Weekday,0,Rain,41,37,25.0
Sector 7,8,Weekday,2,Clear,20,34,57.2
Supela,18,Weekday,2,Clear,20,34,77.2
Nehru Nagar,2,Weekend,5,Clear,40,88,4.1
Sector 5,13,Weekday,2,Rain,34,82,35.9
Sector 6,10,Weekend,5,Rain,32,83,37.2
Power House,17,Weekday,0,Clear,42,59,51.9
Bhilai 3,17,Weekday,3,Thunderstorm,37,70,89.5
Sector 2,4,Weekday,3,Clear,20,76,4.5
Sector 5,0,Weekend,6,Cloudy,19,52,4.8
Sector 5,10,Weekday,2,Cloudy,36,95,34.2
Sector 9,22,Weekday,2,Rain,40,42,24.6
Sector 5,8,Weekend,6,Rain,39,74,42.5
Civic Center,23,Weekend,6,Cloudy,39,74,16.7
Durg Station,18,Weekend,5,Clear,40,88,103.1
Sector 9,11,Weekend,5,Cloudy,34,42,21.7
Sector 3,6,Weekend,5,Cloudy,32,83,21.1
Power House,6,Weekday,4,Rain,34,60,25.2
Sector 8,1,Weekend,6,Cloudy,39,74,3.9
Civic Center,10,Weekday,3,Heavy Rain,30,71,81.8
Power House,19,Weekday,1,Rain,20,88,59.3
Nehru Nagar,13,Weekday,3,Rain,35,36,58.7
Sector 5,9,Weekend,6,Rain,21,85,49.2
Sector 1,6,Weekday,4,Cloudy,22,79,35.0
Sector 6,17,Weekday,4,Clear,27,52,52.6
Sector 9,22,Weekend,5,Cloudy,32,83,18.0
Durg Station,10,Weekday,1,Rain,28,43,57.0
Sector 7,3,Weekday,1,Heavy Rain,21,52,5.3
Durg Station,15,Weekend,6,Clear,32,36,31.5
Bhilai 3,14,Weekday,3,Cloudy,37,83,41.7
Durg Station,11,Weekday,4,Clear,41,45,41.5
Sector 2,21,Weekend,5,Thunderstorm,37,81,65.1
Sector 9,10,Weekend,5,Thunderstorm,37,81,42.1
Civic Center,13,Weekend,5,Thunderstorm,37,81,73.7
Sector 9,19,Weekend,5,Cloudy,35,52,54.1
Sector 5,10,Weekday,2,Clear,27,64,28.1
Sector 9,18,Weekday,2,Fog,27,64,38.5
Supela,3,Weekday,2,Clear,21,66,3.4
Sector 10,16,Weekend,5,Cloudy,32,83,26.9
Junwani,21,Weekday,1,Cloudy,23,49,27.8
Sector 1,21,Weekday,2,Clear,21,66,34.5
Padmanabhpur,3,Weekday,3,Fog,20,76,2.8
Padmanabhpur,17,Weekend,6,Cloudy,41,89,72.6
Sector 4,21,Weekend,5,Clear,30,67,30.1
Civic Center,6,Weekday,3,Heavy Rain,35,66,50.4
Sector 3,12,Weekday,1,Cloudy,24,45,41.8
Padmanabhpur,13,Weekend,5,Clear,30,67,29.6
Sector 1,8,Weekday,0,Thunderstorm,40,43,115.0
Sector 1,18,Weekday,4,Rain,30,76,108.2
Power House,0,Weekday,3,Fog,14,37,5.8
Padmanabhpur,3,Weekend,5,Cloudy,32,83,2.7
Sector 7,8,Weekday,2,Fog,34,48,49.7
Sector 1,15,Weekday,2,Clear,21,66,53.1
Sector 9,2,Weekday,1,Cloudy,38,47,3.0
Durg Station,14,Weekend,5,Clear,40,88,42.1
Sector 2,17,Weekend,5,Clear,30,67,63.6
Bhilai 3,19,Weekend,5,Thunderstorm,37,81,110.1
Nehru Nagar,22,Weekday,2,Thunderstorm,40,80,39.7
Sector 8,14,Weekend,5,Clear,40,88,22.3
Sector 8,7,Weekday,3,Thunderstorm,37,70,64.7
Power House,12,Weekday,4,Fog,13,63,31.5
Padmanabhpur,4,Weekend,6,Clear,33,61,4.3
Sector 2,4,Weekday,0,Thunderstorm,23,45,8.4
Sector 8,12,Weekday,2,Fog,36,95,28.1
Sector 6,0,Weekday,3,Heavy Rain,37,83,10.8
Junwani,22,Weekday,1,Fog,18,94,15.3
Smriti Nagar,2,Weekday,1,Cloudy,23,49,4.6
Sector 9,14,Weekday,4,Clear,25,51,29.2
Smriti Nagar,4,Weekday,4,Cloudy,22,79,3.9
Sector 2,12,Weekday,2,Clear,31,77,41.4
Sector 4,7,Weekday,1,Thunderstorm,21,52,61.3
Padmanabhpur,9,Weekday,3,Fog,20,76,43.1
Kohka,15,Weekday,4,Fog,13,63,23.0
Junwani,6,Weekday,4,Rain,35,62,33.4
Sector 10,12,Weekday,3,Rain,37,83,37.2
Junwani,6,Weekend,6,Heavy Rain,38,39,31.8
Padmanabhpur,5,Weekend,6,Rain,21,31,13.3
Smriti Nagar,17,Weekday,1,Cloudy,32,44,56.8
Supela,7,Weekend,5,Cloudy,32,83,52.3
Padmanabhpur,1,Weekend,6,Clear,33,61,4.8
Sector 1,3,Weekday,2,Rain,42,93,5.4
Bhilai 3,10,Weekday,2,Clear,23,34,41.4
Sector 3,18,Weekday,3,Rain,36,69,74.8
Junwani,11,Weekend,5,Clear,40,88,20.9
Padmanabhpur,15,Weekend,6,Cloudy,39,74,31.6
Bhilai 3,3,Weekend,6,Thunderstorm,35,59,2.9
Sector 10,15,Weekday,1,Fog,22,42,22.7
Kohka,15,Weekday,0,Thunderstorm,23,45,48.8
Civic Center,23,Weekday,1,Heavy Rain,31,75,30.0
Sector 4,18,Weekend,6,Clear,32,36,65.7
Nehru Nagar,2,Weekday,2,Rain,40,42,5.9
Sector 7,13,Weekend,5,Rain,24,59,48.4
Sector 3,11,Weekday,0,Rain,38,36,36.7
Sector 4,14,Weekday,2,Clear,21,66,25.7
Junwani,6,Weekday,0,Heavy Rain,25,70,32.0
Sector 10,23,Weekday,0,Rain,33,85,11.2
Durg Station,12,Weekend,6,Cloudy,39,74,42.8
Nehru Nagar,23,Weekday,0,Thunderstorm,23,45,23.4
Sector 7,19,Weekday,4,Clear,27,52,54.8
Sector 1,0,Weekday,0,Rain,38,36,13.7
Padmanabhpur,17,Weekday,0,Heavy Rain,25,70,114.3
Sector 7,18,Weekday,4,Rain,34,60,57.5
Bhilai 3,22,Weekday,4,Clear,27,52,19.7
Junwani,7,Weekend,6,Clear,33,61,22.9
Sector 5,20,Weekday,1,Cloudy,32,44,32.6
Sector 2,17,Weekday,2,Clear,36,47,69.0
Kohka,0,Weekday,4,Rain,30,76,7.3
Sector 1,12,Weekday,2,Rain,34,82,60.3
Civic Center,16,Weekday,2,Clear,21,66,60.3
Sector 4,3,Weekend,6,Rain,23,84,2.7
Sector 7,5,Weekday,0,Cloudy,20,62,13.6
Junwani,10,Weekday,3,Rain,37,83,35.2
Sector 4,18,Weekday,4,Rain,31,82,69.9
Sector 10,16,Weekday,4,Clear,25,42,31.9
Civic Center,23,Weekend,5,Cloudy,32,83,15.3
Sector 8,10,Weekday,0,Cloudy,20,62,31.3
Bhilai 3,13,Weekend,5,Clear,40,88,37.2
Sector 10,14,Weekday,2,Rain,34,48,38.9
Junwani,4,Weekday,0,Clear,32,74,4.3
Sector 7,9,Weekend,5,Cloudy,32,83,40.2
Sector 3,15,Weekend,6,Fog,15,68,20.3
Bhilai 3,4,Weekend,6,Cloudy,19,52,4.0
Nehru Nagar,2,Weekday,3,Rain,20,79,6.8
Power House,19,Weekday,3,Rain,36,69,53.9
Civic Center,3,Weekend,5,Rain,24,59,4.6
Smriti Nagar,14,Weekend,5,Thunderstorm,31,37,38.7
Sector 5,2,Weekday,3,Clear,37,70,4.2
Sector 4,10,Weekend,5,Clear,40,88,23.7
Sector 5,14,Weekday,4,Clear,25,42,25.1
Padmanabhpur,23,Weekday,3,Rain,20,79,16.7
Durg Station,20,Weekend,6,Cloudy,39,74,74.2
Nehru Nagar,18,Weekday,3,Rain,35,36,81.7
Sector 2,11,Weekday,4,Cloudy,22,79,35.1
Sector 2,9,Weekday,2,Cloudy,21,66,52.8
Sector 1,21,Weekday,1,Cloudy,24,45,36.6
Sector 3,22,Weekday,0,Heavy Rain,30,67,25.8
Junwani,7,Weekday,2,Rain,34,82,47.3
Supela,5,Weekend,5,Cloudy,34,42,12.3
Kohka,22,Weekend,5,Fog,20,95,16.5
Sector 3,10,Weekday,3,Rain,31,46,47.7
Sector 2,0,Weekday,2,Clear,31,77,7.9
Power House,6,Weekend,6,Rain,21,31,26.2
Civic Center,15,Weekend,6,Clear,33,61,38.2
Sector 1,8,Weekend,5,Fog,30,67,52.0
Padmanabhpur,16,Weekday,1,Fog,24,45,38.5
Sector 8,10,Weekday,0,Heavy Rain,30,67,40.9
Sector 4,11,Weekday,2,Thunderstorm,22,70,53.3
Sector 5,13,Weekend,5,Thunderstorm,37,81,46.2
Sector 5,5,Weekday,2,Rain,34,82,11.2
Sector 4,8,Weekday,0,Clear,32,74,43.1
Junwani,20,Weekday,4,Heavy Rain,41,45,46.7
Kohka,6,Weekday,1,Clear,34,91,17.9
Sector 3,12,Weekend,5,Cloudy,35,52,35.4
Sector 3,22,Weekday,0,Heavy Rain,40,43,31.1
Junwani,3,Weekday,4,Cloudy,22,79,3.6
Sector 6,13,Weekday,1,Rain,38,47,49.8
Sector 8,1,Weekday,2,Rain,42,93,6.4
Sector 6,4,Weekend,5,Cloudy,32,36,3.3
Kohka,20,Weekday,4,Rain,31,82,33.4
Sector 7,8,Weekday,2,Fog,34,82,50.8
Kohka,22,Weekday,3,Heavy Rain,30,71,24.7
Power House,19,Weekday,4,Clear,25,42,43.1
Durg Station,6,Weekday,2,Clear,23,34,35.7
Smriti Nagar,19,Weekday,3,Thunderstorm,35,66,86.7
Sector 4,17,Weekday,4,Clear,41,45,44.6
Sector 4,3,Weekday,1,Clear,32,44,2.9
Padmanabhpur,1,Weekday,0,Fog,20,31,5.3
Sector 10,21,Weekday,4,Clear,27,52,21.2
Sector 5,0,Weekday,4,Clear,38,35,7.5
Sector 7,4,Weekday,2,Rain,34,82,6.3
Padmanabhpur,8,Weekday,4,Clear,38,35,56.8
Sector 2,9,Weekday,1,Thunderstorm,28,43,78.8
Nehru Nagar,18,Weekday,3,Rain,36,69,82.4
Durg Station,4,Weekend,5,Rain,24,59,6.6
Civic Center,22,Weekday,4,Thunderstorm,27,61,45.3
Sector 5,4,Weekday,1,Clear,35,50,3.0
Sector 4,14,Weekday,3,Rain,39,85,46.3
Sector 5,18,Weekend,6,Cloudy,19,52,45.7
Kohka,12,Weekend,5,Clear,30,67,25.8
Sector 3,21,Weekday,0,Fog,38,36,22.8
Sector 6,9,Weekday,4,Cloudy,27,61,54.1
Kohka,5,Weekday,1,Clear,34,91,8.1
Junwani,20,Weekday,0,Rain,33,85,48.1
Sector 3,11,Weekday,4,Thunderstorm,27,61,45.2
Sector 1,18,Weekend,5,Cloudy,32,36,78.0
Sector 3,2,Weekend,6,Fog,15,68,2.7
Sector 6,2,Weekday,4,Clear,25,42,4.5
Sector 3,5,Weekend,6,Clear,32,36,7.7
